HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459240.39702,2021-01-25.8957861,bn,1.48,16.487,14.973,0.054,3.723,0.185,g
2459240.42806,2021-01-25.9268390,bn,1.50,16.443,15.072,0.062,3.397,0.192,g
2459240.42929,2021-01-25.9280596,bn,1.48,16.406,14.993,0.059,3.658,0.199,g
2459240.43052,2021-01-25.9292908,bn,1.54,16.511,15.055,0.057,3.452,0.181,g
2459240.46182,2021-01-25.9605960,bn,1.50,16.291,14.957,0.064,3.778,0.221,g
2459240.46305,2021-01-25.9618228,bn,1.43,16.370,15.009,0.062,3.601,0.206,g
2459240.46429,2021-01-25.9630548,bn,1.51,16.427,15.008,0.059,3.602,0.195,g
2459240.47806,2021-01-25.9768278,bn,1.52,16.407,15.095,0.065,3.326,0.199,g
2459240.47930,2021-01-25.9780686,bn,1.49,16.430,15.019,0.060,3.570,0.195,g
2459240.48052,2021-01-25.9792857,bn,1.50,16.471,14.960,0.054,3.765,0.188,g
2459240.50830,2021-01-26.0070787,bn,1.49,16.318,15.094,0.071,3.328,0.216,g
2459240.50952,2021-01-26.0082971,bn,1.49,16.250,14.880,0.062,4.054,0.230,g
2459240.51076,2021-01-26.0095305,bn,1.49,16.495,14.917,0.051,3.918,0.184,g
2459240.52921,2021-01-26.0279839,bn,1.60,16.407,15.036,0.062,3.510,0.199,g
2459240.53043,2021-01-26.0292033,bn,1.51,16.404,14.840,0.052,4.207,0.200,g
2459240.53166,2021-01-26.0304321,bn,1.52,16.325,15.083,0.070,3.362,0.215,g
2459240.59428,2021-01-26.0930480,bF,1.43,15.770,14.937,0.102,3.849,0.358,g
2459240.59557,2021-01-26.0943474,bF,1.47,16.227,15.032,0.073,3.526,0.235,g
2459240.59688,2021-01-26.0956490,bF,1.49,16.016,15.238,0.107,2.917,0.285,g
2459240.61196,2021-01-26.1107386,bF,1.56,16.258,14.946,0.065,3.817,0.228,g
2459240.61329,2021-01-26.1120636,bF,1.54,16.154,15.007,0.076,3.606,0.251,g
2459240.61459,2021-01-26.1133614,bF,1.57,16.294,15.032,0.068,3.527,0.221,g
2459240.63175,2021-01-26.1305280,bF,1.63,16.441,14.647,0.042,5.022,0.193,g
2459240.63306,2021-01-26.1318321,bF,1.65,16.606,14.993,0.050,3.654,0.166,g
2459240.63440,2021-01-26.1331781,bF,1.58,16.414,14.896,0.054,3.998,0.198,g
2459240.65361,2021-01-26.1523849,bF,1.52,16.437,14.583,0.040,5.330,0.194,g
2459240.65493,2021-01-26.1537035,bF,1.59,16.517,14.988,0.054,3.669,0.180,g
2459240.65622,2021-01-26.1549949,bF,1.62,16.480,14.995,0.056,3.647,0.186,g
2459240.71513,2021-01-26.2139038,bF,1.55,16.408,15.053,0.063,3.458,0.199,g
2459240.71642,2021-01-26.2151991,bF,1.56,16.344,14.959,0.061,3.770,0.211,g
2459240.71773,2021-01-26.2165089,bF,1.58,16.490,15.036,0.057,3.511,0.184,g
2459240.72818,2021-01-26.2269525,bF,1.64,16.237,14.994,0.070,3.652,0.233,g
2459240.72947,2021-01-26.2282418,bF,1.65,16.388,15.238,0.076,2.916,0.202,g
2459240.73077,2021-01-26.2295407,bF,1.61,16.488,15.016,0.056,3.578,0.184,g
2459240.74069,2021-01-26.2394668,bF,1.55,16.320,15.057,0.068,3.446,0.216,g
2459240.74198,2021-01-26.2407525,bF,1.65,16.378,14.979,0.060,3.700,0.204,g
2459240.74327,2021-01-26.2420498,bF,1.61,16.568,14.952,0.049,3.794,0.172,g
2459240.76054,2021-01-26.2593125,bF,1.67,16.266,15.030,0.070,3.531,0.226,g
2459240.76183,2021-01-26.2606025,bF,1.57,16.271,14.999,0.068,3.636,0.225,g
2459240.76314,2021-01-26.2619129,bF,1.56,16.331,15.079,0.069,3.376,0.213,g
2459241.28069,2021-01-26.7794800,bn,2.27,15.878,14.916,0.090,3.923,0.324,g
2459241.28201,2021-01-26.7807993,bn,2.27,15.932,14.960,0.089,3.769,0.308,g
2459241.28329,2021-01-26.7820797,bn,2.21,16.038,14.892,0.076,4.008,0.279,g
2459241.34200,2021-01-26.8407894,bn,1.79,16.198,15.158,0.084,3.138,0.241,g
2459241.34322,2021-01-26.8420114,bn,1.78,16.251,15.016,0.070,3.576,0.230,g
2459241.34445,2021-01-26.8432403,bn,1.78,16.072,14.796,0.068,4.381,0.271,g
2459241.38695,2021-01-26.8857447,bn,1.53,16.284,14.992,0.067,3.656,0.223,g
2459241.38818,2021-01-26.8869736,bn,1.53,16.162,15.016,0.076,3.576,0.249,g
2459241.38941,2021-01-26.8881964,bn,1.51,16.247,14.982,0.068,3.692,0.231,g
2459241.41923,2021-01-26.9180172,bn,1.57,16.143,14.982,0.075,3.691,0.254,g
2459241.45028,2021-01-26.9490770,bn,1.51,16.065,15.179,0.097,3.078,0.272,g
2459241.45151,2021-01-26.9503059,bn,1.51,16.039,14.842,0.073,4.202,0.279,g
2459241.45274,2021-01-26.9515346,bn,1.54,15.962,15.094,0.098,3.332,0.300,g
2459241.45781,2021-01-26.9566032,bn,1.55,16.008,15.067,0.092,3.415,0.287,g
2459241.45904,2021-01-26.9578312,bn,1.54,16.033,14.859,0.074,4.136,0.281,g
2459241.46026,2021-01-26.9590596,bn,1.53,16.017,15.028,0.088,3.538,0.285,g
2459241.48403,2021-01-26.9828203,bn,1.54,15.956,15.273,0.117,2.823,0.301,g
2459241.48526,2021-01-26.9840565,bn,1.61,15.947,15.024,0.094,3.551,0.304,g
2459241.48649,2021-01-26.9852857,bn,1.55,15.911,14.854,0.083,4.157,0.314,g
2459241.52815,2021-01-27.0269533,bj,1.59,16.121,15.174,0.092,3.091,0.259,g
2459241.52937,2021-01-27.0281695,bj,1.65,16.127,15.239,0.097,2.915,0.257,g
2459241.53058,2021-01-27.0293851,bj,1.64,16.118,15.124,0.088,3.239,0.259,g
2459241.53656,2021-01-27.0353504,bn,1.61,15.180,14.923,0.173,3.900,0.617,g
2459241.53778,2021-01-27.0365795,bn,1.63,14.935,14.836,0.200,4.226,0.773,g
2459241.53901,2021-01-27.0378047,bn,1.76,15.049,14.647,0.152,5.026,0.697,g
2459241.54677,2021-01-27.0455695,bF,1.61,16.430,15.008,0.059,3.602,0.195,g
2459241.54808,2021-01-27.0468776,bF,1.64,16.379,15.002,0.062,3.622,0.204,g
2459241.54937,2021-01-27.0481712,bF,1.55,16.487,15.065,0.059,3.420,0.185,g
2459241.58113,2021-01-27.0799390,bj,1.59,16.383,15.012,0.062,3.591,0.203,g
2459241.58236,2021-01-27.0811700,bj,1.52,16.362,15.043,0.065,3.487,0.207,g
2459241.58359,2021-01-27.0823967,bj,1.54,16.292,15.018,0.068,3.571,0.221,g
2459241.60840,2021-01-27.1072028,bF,1.55,16.382,14.937,0.058,3.848,0.203,g
2459241.60969,2021-01-27.1084937,bF,1.49,16.508,14.973,0.053,3.722,0.181,g
2459241.61099,2021-01-27.1097929,bF,1.53,16.506,14.988,0.054,3.673,0.182,g
2459241.62443,2021-01-27.1232300,bF,1.53,16.519,15.053,0.057,3.458,0.179,g
2459241.62574,2021-01-27.1245473,bF,1.53,16.385,15.120,0.068,3.250,0.203,g
2459241.62704,2021-01-27.1258496,bF,1.60,16.508,14.934,0.051,3.858,0.181,g
2459241.64468,2021-01-27.1434758,bF,1.57,16.399,15.019,0.061,3.569,0.200,g
2459241.64598,2021-01-27.1447815,bF,1.54,16.414,15.049,0.062,3.472,0.198,g
2459241.64727,2021-01-27.1460732,bF,1.52,16.497,15.096,0.060,3.324,0.183,g
2459241.65298,2021-01-27.1517833,bF,1.56,16.362,15.054,0.066,3.455,0.207,g
2459241.65428,2021-01-27.1530846,bF,1.57,16.455,14.947,0.055,3.813,0.190,g
2459241.65558,2021-01-27.1543849,bF,1.62,16.476,15.090,0.061,3.340,0.187,g
2459241.66825,2021-01-27.1670604,bj,1.53,16.237,15.036,0.073,3.510,0.233,g
2459241.66948,2021-01-27.1682832,bj,1.58,16.289,14.977,0.065,3.710,0.222,g
2459241.67072,2021-01-27.1695212,bj,1.55,16.325,15.097,0.071,3.320,0.215,g
2459241.69740,2021-01-27.1962049,bF,1.55,16.191,15.011,0.074,3.595,0.242,g
2459241.69871,2021-01-27.1975199,bF,1.56,16.371,15.013,0.063,3.590,0.206,g
2459241.70001,2021-01-27.1988158,bF,1.55,16.372,15.013,0.063,3.587,0.205,g
2459241.72127,2021-01-27.2200731,bF,1.54,16.328,15.287,0.084,2.788,0.214,g
2459241.72256,2021-01-27.2213599,bF,1.56,16.276,14.995,0.067,3.647,0.224,g
2459241.72388,2021-01-27.2226869,bF,1.54,16.293,15.167,0.078,3.114,0.221,g
2459241.74941,2021-01-27.2482180,bF,1.56,16.254,15.000,0.069,3.631,0.229,g
2459241.75071,2021-01-27.2495151,bF,1.60,16.157,15.085,0.082,3.355,0.250,g
2459241.75201,2021-01-27.2508152,bF,1.55,16.084,14.947,0.077,3.815,0.268,g
2459241.76945,2021-01-27.2682614,bF,1.65,16.250,15.185,0.082,3.062,0.230,g
2459241.77076,2021-01-27.2695614,bF,1.66,16.054,15.132,0.094,3.214,0.275,g
2459241.77205,2021-01-27.2708528,bF,1.65,16.164,15.044,0.078,3.486,0.249,g
2459242.27721,2021-01-27.7760265,bn,1.59,15.970,14.918,0.083,3.915,0.297,g
2459242.27843,2021-01-27.7772484,bn,1.53,16.085,15.160,0.093,3.134,0.268,g
2459242.27967,2021-01-27.7784843,bn,1.46,16.268,14.982,0.067,3.692,0.226,g
2459242.33010,2021-01-27.8289222,bn,1.55,16.334,14.939,0.061,3.842,0.213,g
2459242.33134,2021-01-27.8301605,bn,1.52,16.329,15.145,0.074,3.177,0.214,g
2459242.33256,2021-01-27.8313813,bn,1.55,16.238,14.997,0.070,3.642,0.232,g
2459242.38227,2021-01-27.8810966,bn,1.49,16.228,14.988,0.070,3.669,0.235,g
2459242.38351,2021-01-27.8823362,bn,1.49,16.248,15.102,0.076,3.306,0.230,g
2459242.38474,2021-01-27.8835627,bn,1.50,16.147,15.074,0.082,3.390,0.253,g
2459242.42357,2021-01-27.9223946,bn,1.55,16.367,15.062,0.066,3.429,0.207,g
2459242.42481,2021-01-27.9236340,bn,1.55,16.371,15.078,0.067,3.382,0.206,g
2459242.42605,2021-01-27.9248733,bn,1.47,16.285,14.980,0.066,3.697,0.223,g
2459242.46840,2021-01-27.9672229,bn,1.58,16.011,15.207,0.105,3.000,0.286,g
2459242.46962,2021-01-27.9684457,bn,1.62,16.163,14.976,0.073,3.712,0.249,g
2459242.47084,2021-01-27.9696649,bn,1.54,16.192,14.964,0.071,3.753,0.243,g
2459242.48705,2021-01-27.9858731,bn,1.64,16.000,14.982,0.086,3.695,0.289,g
2459242.48827,2021-01-27.9870960,bn,1.60,16.006,15.325,0.117,2.691,0.288,g
2459242.48953,2021-01-27.9883496,bn,1.60,15.980,14.963,0.086,3.754,0.295,g
2459242.50569,2021-01-28.0045187,bn,1.66,15.976,14.917,0.083,3.918,0.296,g
2459242.50692,2021-01-28.0057452,bn,1.68,15.955,15.074,0.097,3.391,0.302,g
2459242.50815,2021-01-28.0069753,bn,1.59,15.928,15.048,0.097,3.473,0.309,g
2459242.54777,2021-01-28.0465959,bF,1.58,16.470,15.058,0.060,3.441,0.188,g
2459242.54907,2021-01-28.0478974,bF,1.58,16.400,14.950,0.058,3.804,0.200,g
2459242.55036,2021-01-28.0491870,bF,1.64,16.375,14.924,0.058,3.894,0.205,g
2459242.57318,2021-01-28.0720057,bF,1.60,16.337,15.019,0.065,3.568,0.212,g
2459242.57447,2021-01-28.0732929,bF,1.64,16.276,14.999,0.068,3.632,0.224,g
2459242.57575,2021-01-28.0745798,bF,1.53,16.396,15.068,0.064,3.411,0.201,g
2459242.59572,2021-01-28.0945516,bj,1.60,16.222,14.996,0.071,3.645,0.236,g
2459242.59695,2021-01-28.0957829,bj,1.55,16.361,14.959,0.060,3.773,0.208,g
2459242.59819,2021-01-28.0970133,bj,1.54,16.307,15.125,0.074,3.239,0.218,g
2459242.62425,2021-01-28.1230851,bF,1.60,16.355,14.980,0.062,3.698,0.209,g
2459242.62554,2021-01-28.1243725,bF,1.62,16.333,15.052,0.067,3.462,0.213,g
2459242.62685,2021-01-28.1256809,bF,1.58,16.486,15.096,0.061,3.323,0.185,g
2459242.64793,2021-01-28.1467597,bF,1.62,16.325,14.860,0.057,4.130,0.215,g
2459242.64923,2021-01-28.1480638,bF,1.57,16.292,15.158,0.077,3.138,0.221,g
2459242.65054,2021-01-28.1493668,bF,1.56,16.463,15.167,0.066,3.111,0.189,g
2459242.66458,2021-01-28.1634094,bF,1.61,16.295,15.038,0.069,3.506,0.220,g
2459242.66588,2021-01-28.1647175,bF,1.64,16.280,15.207,0.082,2.998,0.223,g
2459242.66719,2021-01-28.1660197,bF,1.65,16.304,14.967,0.064,3.743,0.219,g
2459242.68831,2021-01-28.1871406,bF,1.62,16.159,15.080,0.081,3.373,0.250,g
2459242.68961,2021-01-28.1884410,bF,1.65,16.167,14.896,0.068,3.997,0.248,g
2459242.69090,2021-01-28.1897325,bF,1.63,16.191,14.963,0.071,3.757,0.243,g
2459242.70623,2021-01-28.2050681,bF,1.66,16.135,14.950,0.074,3.800,0.255,g
2459242.70753,2021-01-28.2063633,bF,1.65,16.135,14.878,0.069,4.061,0.256,g
2459242.70883,2021-01-28.2076662,bF,1.59,16.294,15.005,0.067,3.617,0.221,g
2459242.74792,2021-01-28.2467589,bF,1.58,16.020,15.299,0.113,2.759,0.284,g
2459242.74921,2021-01-28.2480471,bF,1.61,16.091,14.949,0.077,3.804,0.266,g
2459242.75051,2021-01-28.2493422,bF,1.59,16.024,14.777,0.069,4.460,0.283,g
2459242.77361,2021-01-28.2724412,bj,1.57,15.386,14.979,0.152,3.703,0.511,g
2459242.77484,2021-01-28.2736700,bj,1.92,15.303,14.888,0.151,4.024,0.552,g
2459242.77608,2021-01-28.2749101,bj,1.98,15.256,14.827,0.149,4.258,0.577,g
2459243.31406,2021-01-28.8129053,bn,1.49,16.308,14.944,0.062,3.822,0.218,g
2459243.31527,2021-01-28.8141225,bn,1.54,16.224,15.014,0.072,3.583,0.235,g
2459243.31649,2021-01-28.8153444,bn,1.51,16.221,15.010,0.072,3.598,0.236,g
2459243.36708,2021-01-28.8659325,bn,1.53,16.247,14.887,0.063,4.028,0.231,g
2459243.36830,2021-01-28.8671531,bn,1.53,16.199,15.034,0.075,3.517,0.241,g
2459243.36951,2021-01-28.8683689,bn,1.50,16.188,15.005,0.074,3.614,0.243,g
2459243.41931,2021-01-28.9181629,bn,1.52,16.099,15.115,0.089,3.264,0.264,g
2459243.42054,2021-01-28.9193924,bn,1.52,16.175,14.992,0.074,3.657,0.246,g
2459243.42176,2021-01-28.9206072,bn,1.58,16.128,14.966,0.075,3.746,0.257,g
2459243.44543,2021-01-28.9442813,bn,1.50,16.071,15.199,0.098,3.023,0.271,g
2459243.44666,2021-01-28.9455105,bn,1.50,15.995,14.922,0.082,3.903,0.291,g
2459243.44789,2021-01-28.9467472,bn,1.51,16.031,15.000,0.085,3.628,0.281,g
2459243.46803,2021-01-28.9668864,bn,1.50,15.913,15.170,0.111,3.105,0.313,g
2459243.46926,2021-01-28.9681092,bn,1.49,16.067,15.144,0.094,3.181,0.272,g
2459243.47049,2021-01-28.9693465,bn,1.52,15.947,15.001,0.092,3.630,0.304,g
2459243.53563,2021-01-29.0344896,bn,1.59,15.133,14.657,0.142,4.982,0.646,g
2459243.53565,2021-01-29.0345096,bF,1.62,16.488,15.088,0.060,3.347,0.185,g
2459243.53686,2021-01-29.0357164,bn,1.95,15.045,>15.045,99.990,3.168,0.698,g
2459243.53694,2021-01-29.0358005,bF,1.69,16.257,15.035,0.071,3.514,0.228,g
2459243.56873,2021-01-29.0675906,bF,1.57,16.448,14.964,0.056,3.752,0.192,g
2459243.57002,2021-01-29.0688761,bF,1.60,16.336,15.167,0.075,3.113,0.212,g
2459243.57130,2021-01-29.0701625,bF,1.55,16.343,15.076,0.068,3.388,0.211,g
2459243.59087,2021-01-29.0897319,bF,1.61,16.213,14.937,0.068,3.850,0.238,g
2459243.59216,2021-01-29.0910229,bF,1.59,16.389,15.042,0.063,3.491,0.202,g
2459243.59348,2021-01-29.0923346,bF,1.61,16.278,14.921,0.063,3.905,0.224,g
2459243.61974,2021-01-29.1185997,bj,1.61,16.258,15.017,0.070,3.576,0.228,g
2459243.62096,2021-01-29.1198239,bj,1.59,16.270,14.929,0.064,3.876,0.226,g
2459243.62219,2021-01-29.1210501,bj,1.58,16.169,15.015,0.076,3.582,0.248,g
2459243.64233,2021-01-29.1411868,bF,1.56,16.384,15.016,0.062,3.579,0.203,g
2459243.64362,2021-01-29.1424817,bF,1.67,16.363,15.099,0.068,3.313,0.207,g
2459243.64491,2021-01-29.1437722,bF,1.70,16.498,15.014,0.056,3.583,0.183,g
2459243.67452,2021-01-29.1733909,bj,1.64,16.081,15.119,0.090,3.254,0.268,g
2459243.67576,2021-01-29.1746281,bj,1.60,16.144,15.028,0.078,3.538,0.253,g
2459243.67700,2021-01-29.1758700,bj,1.56,16.137,15.073,0.082,3.394,0.255,g
2459243.70250,2021-01-29.2013634,bF,1.61,16.059,14.993,0.082,3.654,0.274,g
2459243.70379,2021-01-29.2026521,bF,1.78,16.101,15.011,0.080,3.593,0.264,g
2459243.70509,2021-01-29.2039519,bF,1.56,16.189,15.004,0.074,3.616,0.243,g
2459243.71642,2021-01-29.2152875,bj,1.60,16.067,14.988,0.081,3.671,0.272,g
2459243.71766,2021-01-29.2165209,bj,1.57,16.025,14.958,0.082,3.776,0.283,g
2459243.71887,2021-01-29.2177377,bj,1.56,16.045,14.867,0.074,4.102,0.278,g
2459243.76267,2021-01-29.2615383,bF,1.65,15.908,14.944,0.090,3.826,0.315,g
2459243.76398,2021-01-29.2628437,bF,1.57,16.035,15.204,0.102,3.009,0.280,g
2459243.76528,2021-01-29.2641424,bF,1.56,15.996,14.991,0.087,3.659,0.290,g
2459244.28786,2021-01-29.7867375,bn,2.06,16.667,15.102,0.052,3.308,0.157,g
2459244.28909,2021-01-29.7879662,bn,2.01,16.585,15.004,0.051,3.616,0.169,g
2459244.29033,2021-01-29.7892115,bn,2.01,16.613,15.063,0.052,3.425,0.165,g
2459244.32155,2021-01-29.8204239,bn,1.49,16.555,15.084,0.056,3.362,0.174,g
2459244.32276,2021-01-29.8216398,bn,1.55,16.455,15.008,0.058,3.605,0.190,g
2459244.32398,2021-01-29.8228569,bn,1.48,16.474,15.055,0.059,3.452,0.187,g
2459244.33655,2021-01-29.8354290,bn,1.61,16.467,15.009,0.057,3.603,0.188,g
2459244.33776,2021-01-29.8366438,bn,1.47,16.523,15.133,0.061,3.212,0.179,g
2459244.33899,2021-01-29.8378729,bn,1.58,16.503,15.204,0.066,3.007,0.182,g
2459244.35152,2021-01-29.8504045,bn,1.58,16.394,15.077,0.065,3.384,0.201,g
2459244.35274,2021-01-29.8516236,bn,1.56,16.517,15.026,0.055,3.546,0.180,g
2459244.35396,2021-01-29.8528487,bn,1.49,16.394,15.001,0.061,3.630,0.201,g
2459244.40002,2021-01-29.8989039,bn,1.51,16.340,15.019,0.065,3.569,0.212,g
2459244.40124,2021-01-29.9001211,bn,1.52,16.358,14.987,0.062,3.675,0.208,g
2459244.40246,2021-01-29.9013421,bn,1.47,16.345,15.043,0.066,3.492,0.211,g
2459244.42979,2021-01-29.9286752,bn,1.46,16.113,14.884,0.071,4.040,0.261,g
2459244.43103,2021-01-29.9299085,bn,1.50,16.230,15.070,0.075,3.403,0.234,g
2459244.43226,2021-01-29.9311361,bn,1.54,16.236,15.003,0.070,3.621,0.233,g
2459244.45585,2021-01-29.9547290,bn,1.51,16.279,14.867,0.060,4.102,0.224,g
2459244.45706,2021-01-29.9559451,bn,1.49,16.247,15.135,0.079,3.206,0.231,g
2459244.45828,2021-01-29.9571633,bn,1.51,16.165,15.025,0.077,3.548,0.249,g
2459245.27810,2021-01-30.7770097,bn,2.45,16.275,14.878,0.060,4.066,0.225,g
2459245.32907,2021-01-30.8279824,bn,1.67,16.596,15.108,0.056,3.289,0.167,g
2459245.33031,2021-01-30.8292207,bn,1.66,16.673,15.167,0.055,3.115,0.156,g
2459245.33152,2021-01-30.8304377,bn,1.58,16.750,15.103,0.048,3.302,0.145,g
2459245.38513,2021-01-30.8840369,bn,1.44,16.500,14.993,0.055,3.653,0.183,g
2459245.38635,2021-01-30.8852653,bn,1.52,16.468,14.984,0.056,3.686,0.188,g
2459245.38760,2021-01-30.8865083,bn,1.48,16.365,15.037,0.064,3.510,0.207,g
2459245.43384,2021-01-30.9327560,bn,1.56,16.366,15.018,0.063,3.571,0.207,g
2459245.43507,2021-01-30.9339827,bn,1.59,16.438,15.043,0.061,3.490,0.193,g
2459245.43630,2021-01-30.9352104,bn,1.55,16.388,15.035,0.063,3.517,0.202,g
2459245.46761,2021-01-30.9665251,bn,1.48,16.284,15.032,0.069,3.528,0.223,g
2459245.46885,2021-01-30.9677620,bn,1.53,16.218,15.040,0.074,3.500,0.237,g
2459245.47007,2021-01-30.9689885,bn,1.48,16.242,14.990,0.069,3.664,0.232,g
2459245.51280,2021-01-31.0117171,bn,1.50,16.147,15.071,0.081,3.402,0.253,g
2459245.51401,2021-01-31.0129262,bn,1.51,16.072,14.849,0.071,4.174,0.271,g
2459245.51523,2021-01-31.0141436,bn,1.55,16.028,14.821,0.072,4.281,0.282,g
2459245.52772,2021-01-31.0266405,bn,1.53,15.489,15.042,0.146,3.492,0.465,g
2459245.52894,2021-01-31.0278646,bn,1.45,15.352,14.774,0.130,4.470,0.528,g
2459245.53017,2021-01-31.0290862,bn,1.48,15.436,14.605,0.103,5.220,0.490,g
2459248.47572,2021-02-02.9747335,bn,1.53,16.537,14.976,0.052,3.712,0.177,g
2459248.47698,2021-02-02.9759960,bn,1.50,16.512,15.053,0.057,3.458,0.181,g
2459248.47822,2021-02-02.9772365,bn,1.49,16.609,15.079,0.053,3.376,0.165,g
2459249.71196,2021-02-04.2110177,bj,1.57,16.769,15.080,0.046,3.375,0.143,g
2459249.71319,2021-02-04.2122491,bj,1.62,16.688,14.925,0.043,3.892,0.154,g
2459249.71443,2021-02-04.2134895,bj,1.57,16.824,15.083,0.044,3.364,0.136,g
2459250.75980,2021-02-05.2588885,bF,1.57,16.646,14.981,0.047,3.693,0.160,g
2459250.76110,2021-02-05.2601834,bF,1.62,16.736,15.031,0.045,3.527,0.147,g
2459250.76239,2021-02-05.2614730,bF,1.65,16.768,15.109,0.047,3.285,0.143,g
2459251.76059,2021-02-06.2597081,bF,1.52,16.808,15.034,0.043,3.519,0.138,g
2459253.74748,2021-02-08.2466646,bF,1.57,16.985,15.064,0.037,3.422,0.117,g
2459253.74876,2021-02-08.2479475,bF,1.57,16.991,15.002,0.035,3.624,0.116,g
2459253.75006,2021-02-08.2492378,bF,1.62,16.987,14.991,0.035,3.662,0.117,g
2459254.73915,2021-02-09.2383696,bF,1.55,17.122,15.120,0.034,3.251,0.103,g
2459254.74046,2021-02-09.2396699,bF,1.55,16.969,15.049,0.037,3.473,0.119,g
2459254.74174,2021-02-09.2409528,bF,1.54,17.021,15.078,0.036,3.382,0.113,g
2459255.70912,2021-02-10.2083680,bj,1.56,16.943,15.101,0.040,3.310,0.122,g
2459255.71037,2021-02-10.2096216,bj,1.59,16.918,15.082,0.040,3.367,0.124,g
2459255.71160,2021-02-10.2108517,bj,1.64,16.926,15.092,0.040,3.337,0.123,g
2459256.69584,2021-02-11.1951202,bF,1.63,16.969,14.921,0.033,3.908,0.119,g
2459256.69714,2021-02-11.1964115,bF,1.58,16.947,15.007,0.037,3.609,0.121,g
2459256.69843,2021-02-11.1977094,bF,1.61,16.954,15.003,0.036,3.621,0.120,g
2459256.71984,2021-02-11.2191214,bF,1.62,17.021,15.071,0.036,3.402,0.113,g
2459256.72114,2021-02-11.2204239,bF,1.58,16.957,15.005,0.036,3.615,0.120,g
2459256.72245,2021-02-11.2217322,bF,1.56,16.953,15.019,0.037,3.570,0.120,g
2459256.73845,2021-02-11.2377327,bj,1.66,16.344,15.062,0.068,3.431,0.215,g
2459256.73969,2021-02-11.2389655,bj,1.58,16.314,15.151,0.076,3.161,0.220,g
2459256.74091,2021-02-11.2401932,bj,1.59,16.248,14.973,0.068,3.722,0.234,g
2459258.54200,2021-02-13.0413359,bF,1.53,17.088,15.062,0.034,3.429,0.106,g
2459258.54328,2021-02-13.0426214,bF,1.49,17.094,15.062,0.034,3.427,0.106,g
2459258.54458,2021-02-13.0439217,bF,1.57,17.061,15.003,0.033,3.621,0.109,g
2459259.69865,2021-02-14.1980438,bj,1.60,16.903,15.058,0.040,3.444,0.126,g
2459259.69988,2021-02-14.1992666,bj,1.55,16.983,15.130,0.040,3.222,0.117,g
2459259.70111,2021-02-14.2004964,bj,1.58,16.961,15.079,0.038,3.377,0.119,g
2459262.73046,2021-02-17.2299392,bF,1.56,16.910,15.068,0.040,3.411,0.126,g
2459263.45269,2021-02-17.9522017,bn,1.48,17.046,15.067,0.035,3.414,0.111,g
2459263.45392,2021-02-17.9534283,bn,1.48,17.000,15.076,0.037,3.383,0.115,g
2459263.45514,2021-02-17.9546502,bn,1.49,17.083,15.045,0.033,3.482,0.107,g
2459263.58213,2021-02-18.0816504,bj,1.55,16.961,15.096,0.039,3.325,0.119,g
2459263.58459,2021-02-18.0841046,bj,1.56,16.931,15.018,0.037,3.570,0.123,g
2459263.61351,2021-02-18.1130331,bF,1.53,17.027,15.019,0.034,3.569,0.112,g
2459263.61482,2021-02-18.1143435,bF,1.55,17.084,15.030,0.033,3.532,0.107,g
2459263.61613,2021-02-18.1156437,bF,1.60,17.032,15.000,0.034,3.629,0.112,g
2459264.64320,2021-02-19.1427612,bj,1.64,16.920,15.074,0.040,3.392,0.124,g
2459264.64444,2021-02-19.1439959,bj,1.71,16.948,15.148,0.042,3.170,0.121,g
2459264.64566,2021-02-19.1452223,bj,1.64,16.912,15.041,0.039,3.495,0.125,g
2459265.61561,2021-02-20.1151996,bj,1.62,16.902,15.088,0.041,3.346,0.126,g
2459265.61685,2021-02-20.1164329,bj,1.58,16.836,15.082,0.043,3.365,0.134,g
2459265.61809,2021-02-20.1176724,bj,1.57,16.797,15.033,0.043,3.525,0.139,g
2459268.53924,2021-02-23.0389298,bF,1.58,16.576,15.039,0.053,3.504,0.170,g
2459270.41378,2021-02-24.9135373,bn,1.49,16.292,15.089,0.072,3.345,0.221,g
2459270.41502,2021-02-24.9147787,bn,1.51,16.207,15.183,0.085,3.067,0.239,g
2459270.41625,2021-02-24.9160070,bn,1.55,16.082,14.968,0.078,3.741,0.268,g
2459270.44762,2021-02-24.9473810,bn,1.52,16.084,15.247,0.101,2.892,0.268,g
2459270.44884,2021-02-24.9485949,bn,1.49,16.036,15.057,0.089,3.446,0.280,g
2459270.45007,2021-02-24.9498262,bn,1.53,15.926,15.039,0.097,3.501,0.310,g
2459272.45741,2021-02-26.9572415,bn,1.99,99.990,99.990,99.990,99.990,99.990,g
2459272.65882,2021-02-27.1586562,bj,1.62,15.810,15.141,0.118,3.188,0.344,g
2459272.66003,2021-02-27.1598807,bj,1.60,15.864,14.956,0.095,3.781,0.328,g
2459272.66127,2021-02-27.1611144,bj,1.61,15.809,14.978,0.102,3.707,0.345,g
2459273.61976,2021-02-28.1196372,bj,1.55,16.239,15.138,0.080,3.197,0.232,g
2459273.62098,2021-02-28.1208590,bj,1.56,16.189,15.126,0.082,3.233,0.243,g
2459273.62222,2021-02-28.1220903,bj,1.56,16.150,15.034,0.078,3.519,0.252,g
2459276.67796,2021-03-03.1779450,bF,1.57,16.431,15.033,0.060,3.523,0.195,g
