HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458860.79179,2020-01-12.2901814,bj,1.58,15.973,15.312,0.119,2.725,0.297,g
2458861.65000,2020-01-13.1484160,bF,1.61,16.608,15.011,0.050,3.596,0.165,g
2458861.65253,2020-01-13.1509539,bF,1.63,16.575,15.073,0.055,3.395,0.170,g
2458861.82077,2020-01-13.3191903,bj,2.24,15.162,>15.162,99.990,2.848,0.629,g
2458861.82200,2020-01-13.3204190,bj,2.25,99.990,99.990,99.990,99.990,99.990,g
2458862.52814,2020-01-14.0265725,bn,1.48,16.352,15.070,0.067,3.405,0.209,g
2458862.52934,2020-01-14.0277782,bn,1.48,16.297,15.151,0.076,3.162,0.220,g
2458862.53056,2020-01-14.0289962,bn,1.52,16.270,15.101,0.075,3.307,0.226,g
2458862.64593,2020-01-14.1443620,bF,1.61,16.883,15.063,0.041,3.427,0.128,g
2458862.64721,2020-01-14.1456506,bF,1.65,16.805,15.065,0.044,3.421,0.138,g
2458863.48629,2020-01-14.9847483,bn,1.61,16.623,15.176,0.058,3.088,0.163,g
2458863.48750,2020-01-14.9859512,bn,1.57,16.662,15.136,0.054,3.203,0.157,g
2458863.48886,2020-01-14.9873254,bn,1.63,16.611,15.035,0.051,3.517,0.165,g
2458863.62934,2020-01-15.1278106,bj,1.57,17.015,15.176,0.040,3.087,0.114,g
2458863.63057,2020-01-15.1290324,bj,1.56,16.907,15.000,0.038,3.633,0.126,g
2458863.63178,2020-01-15.1302543,bj,1.58,16.935,15.100,0.040,3.312,0.122,g
2458863.81529,2020-01-15.3137587,bF,1.57,15.797,14.961,0.101,3.764,0.349,g
2458863.81656,2020-01-15.3150293,bF,1.65,15.597,14.987,0.125,3.675,0.420,g
2458863.81784,2020-01-15.3163114,bF,1.63,14.706,>14.706,99.990,4.291,0.955,g
2458864.55994,2020-01-16.0584252,bn,1.52,16.426,15.036,0.061,3.513,0.196,g
2458864.56116,2020-01-16.0596435,bn,1.50,16.349,15.037,0.065,3.511,0.211,g
2458864.56235,2020-01-16.0608465,bn,1.56,16.215,14.837,0.062,4.218,0.239,g
2458864.63260,2020-01-16.1310887,bj,1.57,17.068,15.047,0.034,3.478,0.108,g
2458864.63382,2020-01-16.1323048,bj,1.62,17.008,15.059,0.036,3.440,0.114,g
2458864.63503,2020-01-16.1335172,bj,1.62,17.028,15.077,0.036,3.383,0.112,g
2458864.81887,2020-01-16.3173601,bF,1.57,16.480,15.015,0.057,3.582,0.186,g
2458864.82014,2020-01-16.3186293,bF,1.68,16.435,14.924,0.054,3.894,0.194,g
2458864.82141,2020-01-16.3199011,bF,2.02,16.128,15.066,0.082,3.418,0.257,g
2458865.46799,2020-01-16.9664975,bn,1.52,16.879,15.098,0.042,3.316,0.129,g
2458865.46921,2020-01-16.9677112,bn,1.55,16.899,15.087,0.041,3.352,0.127,g
2458865.47041,2020-01-16.9689222,bn,1.57,16.872,15.046,0.041,3.479,0.130,g
2458866.56901,2020-01-18.0675416,bj,1.61,17.006,15.128,0.039,3.226,0.115,g
2458866.57023,2020-01-18.0687681,bj,1.52,17.022,15.164,0.039,3.122,0.113,g
2458866.57146,2020-01-18.0699954,bj,1.58,16.994,15.149,0.040,3.166,0.116,g
2458868.77040,2020-01-20.2689917,bj,1.51,16.815,15.047,0.043,3.478,0.137,g
2458868.77162,2020-01-20.2702131,bj,1.60,16.738,15.020,0.045,3.565,0.147,g
